id,dist_name,id(ours),dist_name(ors)
101,Kupwara,1,Kupwara
102,Budgam,2,Budgam
103,Leh,3,Leh(Ladakh)
104,Kargil,4,Kargil
105,Poonch,5,punch
106,Rajouri,6,Rajouri
107,Kathua,7,Kathua
108,Baramulla,8,Baramula
109,Bandipora,9,Bandipore
110,Srinagar,10,Srinagar
111,Ganderbal,11,Ganderbal
112,Pulwama,12,Pulwama
113,Shopian,13,Shupiyan
114,Anantnag,14,Anantnag
115,Kulgam,15,Kulgam
116,Doda,16,Doda
117,Ramban,17,Ramban
118,Kishtwar,18,Kishtwar
119,Udhampur,19,Udhampur
120,Reasi,20,Reasi
121,Jammu,21,Jammu
122,Samba,22,Samba
201,Chamba,23,Chamba
202,Kangra,24,Kangra
203,Lahaul And Spiti,25,Lahul & Spiti
204,Kullu,26,Kullu
205,Mandi,27,Mandi
206,Hamirpur,28,Hamirpur
207,Una,29,Una
208,Bilaspur,30,Bilaspur
209,Solan,31,Solan
210,Sirmaur,32,Sirmaur
211,Shimla,33,Shimla
212,Kinnaur,34,Kinnaur
301,Gurdaspur,35,Gurdaspur
302,Kapurthala,36,Kapurthala 
303,Jalandhar,37,Jalandhar
304,Hoshiarpur,38,Hoshiarpur
305,Shaheed Bhagat Singh Nagar,39,Shahid Bhagat Singh Nagar 
306,Fatehgarh Sahib,40,Fatehgarh Sahib
307,Ludhiana,41,Ludhiana
308,Moga,42,Moga
309,Ferozepur,43,Firozpur
310,Sri Muktsar Sahib,44,Muktsar
311,Faridkot,45,Faridkot
312,Bathinda,46,Bathinda
313,Mansa,47,Mansa
314,Patiala,48,Patiala
315,Amritsar,49,Amritsar
316,Tarn Taran,50,Tarn Taran
317,Rupnagar,51,Rupnagar
318,Sahibzada Ajit Singh Nagar,52,Sahibzada Ajit Singh Nagar
319,Sangrur,53,Sangrur
320,Barnala,54,Barnala
401,Chandigarh,55,Chandigarh
501,Uttarkashi,56,Uttarkashi
502,Chamoli,57,Chamoli
503,Rudraprayag,58,Rudraprayag
506,Pauri Garhwal,61, Garhwal
504,Tehri Garhwal,59,Tehri Garhwal
505,Dehradun,60,Dehradun
507,Pithoragarh,62,Pithoragarh
508,Bageshwar,63,Bageshwar
509,Almora,64,Almora
510,Champawat,65,Champawat
511,Nainital,66,Nainital
512,Udham Singh Nagar,67,Udham Singh Nagar
513,Haridwar,68,Hardwar
601,Panchkula,69,Panchkula
602,Ambala,70,Ambala
603,Yamuna Nagar,71,Yamunanagar
604,Kurukshetra,72,Kurukshetra
605,Kaithal,73,Kaithal
606,Karnal,74,Karnal
607,Panipat,75,Panipat
608,Sonepat,76,Sonipat
609,Jind,77,Jind
610,Fatehabad,78,Fatehabad
611,Sirsa,79,Sirsa
612,Hisar,80,Hisar
613,Bhiwani,81,Bhiwani
614,Rohtak,82,Rohtak
615,Jhajjar,83,Jhajjar
616,Mahendragarh,84,Mahendragarh
617,Rewari,85,Rewari
618,Gurgaon,86,Gurgaon
619,Mewat,87,Mewat 
620,Faridabad,88,Faridabad
621,Palwal,89,Palwal 
701,North West  Delhi,90,North West
702,North Delhi,91,North
703,North East  Delhi,92,North East
710,Shahdara,92,North East
705,Delhi,93,east delhi
704,East Delhi,93,East
706,Central Delhi,95,Central
707,West Delhi,96,West
708,South West  Delhi,97,South West
709,South Delhi,98,South Delhi
711,South East Delhi,98,South Delhi
801,Sri Ganganagar,99,Sri Ganganagar
802,Hanumangarh,100,Hanumangarh 
803,Bikaner,101,Bikaner
804,Churu,102,Churu 
805,Jhunjhunu,103,Jhunjhunun
806,Alwar,104,Alwar
807,Bharatpur,105,Bharatpur 
808,Dhaulpur,106,Dhaulpur
809,Karauli,107,Karauli 
810,Sawai Madhopur,108,Sawai Madhopur 
811,Dausa,109,Dausa 
812,Jaipur,110,Jaipur 
813,Sikar,111,Sikar
814,Nagaur,112,Nagaur
815,Jodhpur,113,Jodhpur
816,Jaisalmer,114,Jaisalmer
817,Barmer,115,Barmer 
818,Jalore,116,Jalor
819,Sirohi,117,Sirohi
820,Pali,118,Pali 
821,Ajmer,119,Ajmer
822,Tonk,120,Tonk 
823,Bundi,121,Bundi 
824,Bhilwara,122,Bhilwara
825,Rajsamand,123,Rajsamand
826,Dungarpur,124,Dungarpur 
827,Banswara,125,Banswara 
828,Chittaurgarh,126,Chittaurgarh 
829,Kota,127,Kota 
830,Baran,128,Baran 
831,Jhalawar,129,Jhalawar
832,Udaipur,130,Udaipur
942,Pratapgarh,131,Pratapgarh 
901,Saharanpur,132,Saharanpur
902,Muzaffarnagar,133,Muzaffarnagar
903,Bijnor,134,Bijnor
904,Moradabad,135,Moradabad
905,Rampur,136,Rampur
906,Amroha,137,amroha/jyotibha phule nagar
907,Meerut,138,Meerut
908,Bagpat,139,Baghpat
909,Ghaziabad,140,Ghaziabad
910,Gautam Buddh Nagar,141,Gautam Buddha Nagar
911,Bulandshahar,142,Bulandshahr 
912,Aligarh,143,Aligarh
913,Hathras,144,Hathras
914,Mathura,145,Mathura
915,Agra,146,Agra
916,Firozabad,147,Firozabad
917,Mainpuri,148,Mainpuri
918,Badaun,149,Badaun
919,Bareilly,150,Bareilly
920,Pilibhit,151,Pilibhit
921,Shahjahanpur,152,Shahjahanpur
923,Sitapur,154,Sitapur
924,Hardoi,155,Hardoi
925,Unnao,156,Unnao
926,Lucknow,157,Lucknow
927,Rae Bareli,158,Rae Bareli
928,Farrukhabad,159,Farrukhabad
929,Kannauj,160,Kannauj
930,Etawah,161,Etawah
931,Auraiya,162,Auraiya
932,Kanpur Dehat,163,Kanpur Dehat
933,Kanpur Nagar,164,Kanpur Nagar
934,Jalaun,165,Jalaun 
935,Jhansi,166,Jhansi
936,Lalitpur,167,Lalitpur
937,Hamirpur,168,Hamirpur
938,Mahoba,169,Mahoba
939,Banda,170,Banda
940,Chitrakoot,171,Chitrakoot
941,Fatehpur,172,Fatehpur
833,Pratapgarh,173,Pratapgarh
943,Kaushambi,174,Kaushambi
944,Allahabad,175,Allahabad 
945,Barabanki,176,Bara Banki
946,Faizabad,177,Faizabad
947,Ambedkar Nagar,178,Ambedkar Nagar
948,Sultanpur,179,Sultanpur
949,Bahraich,180,Bahraich
950,Shrawasti,181,Shrawasti
951,Balrampur,182,Balrampur
952,Gonda,183,Gonda
953,Siddharthnagar,184,Siddharthnagar
954,Basti,185,Basti
955,Sant Kabir Nagar,186,Sant Kabir Nagar
956,Maharajganj,187,Mahrajganj
957,Gorakhpur,188,Gorakhpur
958,Kushinagar,189,Kushinagar
959,Deoria,190,Deoria
960,Azamgarh,191,Azamgarh
961,Mau,192,Mau
962,Ballia,193,Ballia
963,Jaunpur,194,Jaunpur
964,Ghazipur,195,Ghazipur
965,Chandauli,196,Chandauli
966,Varanasi,197,Varanasi
967,Sant Ravidas Nagar,198,Sant Ravidas Nagar (Bhadohi)
968,Mirzapur,199,Mirzapur
969,Sonbhadra,200,Sonbhadra
970,Etah,201,Etah
971,Kanshiram Nagar,202,Kanshiram Nagar
1001,Pashchim Champaran,203,Pashchim Champaran
1002,Purvi Champaran,204,Purba Champaran
1003,Sheohar,205,Sheohar
1004,Sitamarhi,206,Sitamarhi
1005,Madhubani,207,Madhubani
1006,Supaul,208,Supaul
1007,Araria,209,Araria
1008,Kishanganj,210,Kishanganj
1009,Purnia,211,Purnia
1010,Katihar,212,Katihar
1011,Madhepura,213,Madhepura
1012,Saharsa,214,Saharsa
1013,Darbhanga,215,Darbhanga
1014,Muzaffarpur,216,Muzaffarpur
1015,Gopalganj,217,Gopalganj
1016,Siwan,218,Siwan
1017,Saran,219,Saran
1018,Vaishali,220,Vaishali
1019,Samastipur,221,Samastipur
1020,Begusarai,222,Begusarai
1021,Khagaria,223,Khagaria
1022,Bhagalpur,224,Bhagalpur
1023,Banka,225,Banka
1024,Munger,226,Munger
1025,Lakhisarai,227,Lakhisarai
1026,Sheikhpura,228,Sheikhpura
1027,Nalanda,229,Nalanda
1028,Patna,230,Patna
1029,Bhojpur,231,Bhojpur
1030,Buxar,232,Buxar
1031,Kaimur,233,Kaimur (Bhabua)
1032,Rohtas,234,Rohtas
1033,Aurangabad,235,Aurangabad
1034,Gaya,236,Gaya
1035,Nawada,237,Nawada
1036,Jamui,238,Jamui
1037,Jehanabad,239,Jehanabad 
1038,Arwal,240,Arwal
1101,North Sikkim,241,North  District
1102,West Sikkim,242,West District
1103,South Sikkim,243,South District
1104,East Sikkim,244,East District
1201,Tawang,245,Tawang
1202,West Kameng,246,West Kameng
1203,East Kameng,247,East Kameng
1204,Papum Pare,248,Papum Pare
1205,Upper Subansiri,249,Upper Subansiri
1206,West Siang,250,West Siang
1207,East Siang,251,East Siang
1208,Upper Siang,252,Upper Siang
1209,Changlang,253,Changlang
1210,Tirap,254,Tirap
1211,Lower Subansiri,255,Lower Subansiri
1212,Kurung Kumey,256,Kurung Kumey
1213,Dibang Valley,257,Dibang Valley
