District Id,Location Name
1,handwara
1,handwara town
1,karnah
1,kupwara
2,badgam
2,beerwah
2,budgam
2,chadoora
2,charar e shrief
2,khag
2,khansahib
3,khalsi
3,ladakh
3,leh
3,leh
3,leh town
3,nubra
4,kargil
4,sanku
4,zanskar
5,chitral
5,haveli
5,mendhar
5,punch
5,surankote
5,pench
6,budhal
6,darhal
6,kalakote
6,keri
6,nowshehra
6,rajauri
6,rajouri
6,sunderbani
6,thanamandi
6,nowshera
7,bani
7,bashohli
7,billawar
7,hiranagar
7,kathua
8,baramula
8,baramulla
8,boniyar
8,kreeri
8,pattan
8,rafiabad
8,sopore
8,tangmarg
8,uri
8,baramullah
8,pattani
9,bandipora
9,bandipore
9,gurez
9,sonawari
10,srinagar
10,srinagar city
11,ganderbal
11,kangan
11,lar
11,kanhan
12,awantipora
12,pampore
12,pulwama
12,tral
12,awantipura
13,shopian
13,shupiyan
14,anantnag
14,bijbehara
14,dooru
14,kokernag
14,pahalgam
14,shangus
14,anatnag
14,kukernag
15,damhal hanjipora
15,devsar
15,kulgam
16,bhaderwah
16,doda
16,kashmirs doda
16,gandoh
16,thathri
17,banihal
17,ramban
17,pamban
18,atholi
18,chhatroo
18,kishtwar
18,marwah
18,paddar
18,garwah
18,marjah
18,marwar
19,chenani
19,majalta
19,talwara
19,udhampur
19,halwara
20,gool gulabgarh
20,reasi
21,akhnoor
21,bishnah
21,jammu
21,jammu city
21,nagrota
21,ranbir singh pora
22,samba
23,bhalai
23,bhattiyat
23,brahmaur
23,chamba
23,chaurah
23,dalhousie
23,holi
23,pangi
23,saluni
23,sihunta
23,chambal
24,baijnath
24,baroh
24,dera gopipur
24,dharmsala
24,dhira
24,harchakian
24,indora
24,jaisinghpur
24,jaswan
24,jawalamukhi
24,jawali
24,kangra
24,khundian
24,multhan
24,nagrota bagwan
24,nurpur
24,palampur
24,rakkar
24,thural
24,aswan
24,deira
24,jaisinghpura
25,lahul
25,lahul & spiti
25,lahul and spiti
25,spiti
25,lahaul
26,ani
26,banjar
26,kullu
26,malana
26,manali
26,manali town
26,nermand
26,sainj
27,aut
27,baldwara
27,bali chowki
27,bhadrota
27,chachyot
27,dharmpur
27,jogindarnagar
27,karsog
27,kotli
27,lad bharol
27,mandi
27,nihri
27,padhar
27,sandhol
27,sarkaghat
27,sundarnagar
27,thunag
28,barsar
28,bhoranj
28,dhatwal
28,galore
28,hamirpur
28,nadaun
28,tira sujanpur
29,amb
29,bangana
29,bharwain
29,haroli
29,una
30,bharari
30,bilaspur sadar
30,ghumarwin
30,jhanduta
30,naina devi
30,namhol
31,arki
31,baddi
31,darlaghat
31,kandaghat
31,kasauli
31,krishangarh
31,nalagarh
31,ramshahr
31,solan
32,dadahu
32,kamrau
32,nahan
32,nohra
32,pachhad
32,paonta sahib
32,renuka
32,ronhat
32,shalai
32,sirmaur
32,naha
33,chaupal
33,cheta
33,chirgaon
33,dodra kwar
33,jubbal
33,junga
33,kotkhai
33,kufri
33,kumharsain
33,nankhari
33,nerua
33,rohru
33,shimla
33,shimla
33,theog
33,tikar
33,creta
34,hangrang
34,kalpa
34,kinnaur
34,morang
34,nichar
34,poo
34,sangla
35,batala
35,dera baba nanak
35,dhar kalan
35,gurdaspur
35,gurdaspur
35,pathankot
35,gurudaspur
36,begowal
36,bhulath
36,kapurthala
36,phagwara
36,sultanpur lodhi
37,goraya
37,jalandhar
37,jalandhar
37,jalandhar
37,jalandhar city
37,kartarpur
37,nakodar
37,phillaur
37,shahkot
37,jalandar
37,jallandhar
38,dasua
38,garhshankar
38,hoshiarpur
38,hoshiarpur
38,mukerian
38,dasna
38,dasuya
39,balachaur
39,nawanshahr
39,shahid bhagat singh nagar
39,nawanshahar
39,nawashahr
40,amloh
40,bassi pathana
40,fatehgarh sahib
40,gobindgarh
40,khamanon
40,fategarh sahib
40,fatehgarh sahab
41,jagraon
41,khanna
41,ludhiana
41,ludhiana
41,ludhiana city
41,pau
41,payal
41,raikot
41,samrala
41,paal
42,bagha purana
42,dharamkot
42,moga
42,moga city
42,nihal singhwala
43,abohar
43,fazilka
43,ferozepur
43,ferozepur city
