District_2011,Ind_2011
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
10,3
12,3
14,3
16,3
19,2
21,3
23,2
24,3
25,2
26,1
27,2
28,2
29,4
30,3
31,4
32,2
33,2
34,2
35,3
36,2
37,4
38,2
39,2
40,4
41,4
42,2
43,2
44,2
45,2
46,2
47,2
48,3
49,2
51,3
53,2
55,3
56,1
57,2
58,1
59,2
60,3
61,2
62,2
63,1
64,1
65,2
66,3
67,2
68,2
69,3
70,3
71,4
72,2
73,2
74,2
75,4
76,2
77,2
78,2
79,2
80,2
81,2
82,3
83,2
84,2
85,2
86,3
88,3
90,3
91,3
92,4
93,3
94,3
95,4
96,3
97,3
98,3
99,2
100,1
101,2
102,1
103,2
104,2
105,1
106,1
107,1
108,1
109,1
110,4
111,2
112,1
113,2
114,2
115,1
116,1
117,2
118,2
119,2
120,1
121,1
122,2
123,2
124,2
125,1
126,1
127,2
128,1
129,1
130,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,3
141,3
142,2
143,2
144,2
145,2
146,4
147,4
148,1
149,1
150,2
151,1
152,1
153,1
154,1
155,1
156,1
157,3
158,2
159,1
160,1
161,2
162,1
163,1
164,3
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,2
174,1
175,2
176,1
177,2
178,2
179,2
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,2
189,1
190,2
191,2
192,4
193,2
194,1
195,2
196,2
197,4
198,4
199,2
200,2
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,2
217,1
218,2
219,2
220,1
221,1
222,2
223,1
224,2
225,1
226,2
227,1
228,1
229,1
230,2
231,2
232,1
233,1
234,2
235,1
236,1
237,1
238,1
239,1
241,3
242,1
243,2
244,3
245,3
246,3
247,1
248,3
249,1
250,2
251,2
252,2
253,1
254,1
255,2
257,2
259,1
261,1
262,2
263,1
264,1
265,3
266,1
267,1
270,3
272,1
273,1
274,2
275,2
276,2
277,3
278,3
279,1
280,2
281,1
282,2
283,3
284,1
285,1
286,1
287,1
288,3
289,3
290,2
291,2
292,2
293,1
294,1
295,2
296,1
297,1
298,3
299,2
300,1
301,2
302,2
303,2
304,1
305,2
306,2
307,2
308,1
309,2
310,2
311,2
312,2
313,1
314,1
315,2
316,2
317,2
318,2
319,2
321,3
323,3
325,1
327,3
328,2
329,1
330,1
331,1
332,2
333,2
334,2
335,2
336,2
337,4
338,4
339,2
340,2
341,4
342,3
343,4
344,2
346,2
347,1
348,2
349,2
350,2
351,1
352,2
353,2
354,3
355,4
356,1
357,4
358,2
360,2
362,2
364,2
366,1
368,2
370,1
371,4
372,2
373,1
374,4
375,2
376,2
377,1
378,2
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,3
387,2
388,2
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,2
397,1
398,1
399,1
400,2
401,1
402,1
403,1
404,2
405,1
406,2
407,1
408,1
409,2
410,2
411,1
412,1
413,1
414,1
416,1
418,1
419,1
420,1
421,3
422,1
423,1
424,1
425,1
426,1
427,2
428,1
429,2
430,1
431,1
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,4
440,1
441,1
442,1
443,1
444,3
445,1
446,1
447,1
448,1
449,2
450,2
451,4
452,1
453,1
454,1
455,1
456,1
457,1
458,1
460,1
462,1
464,1
466,1
468,2
469,1
470,1
471,2
472,1
473,2
474,4
475,2
476,4
477,2
478,2
479,2
480,1
481,4
482,2
483,1
484,1
485,1
486,2
487,1
488,2
489,1
490,2
491,4
492,4
494,2
495,4
496,4
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,4
506,1
507,1
508,1
509,2
510,1
511,1
512,1
513,1
514,1
515,2
516,2
517,4
518,4
519,3
520,4
521,4
522,1
523,1
524,1
525,1
526,2
527,1
528,2
529,2
530,2
531,2
532,1
533,2
534,2
535,1
536,3
537,3
538,1
539,1
540,1
541,1
542,1
543,1
544,2
545,2
546,1
547,2
548,2
549,1
550,2
551,2
552,1
553,2
554,2
555,1
556,2
557,1
558,2
559,1
560,1
561,1
562,2
563,2
564,1
565,2
566,1
567,2
568,2
569,4
570,1
571,1
572,4
573,1
574,1
575,4
576,1
577,2
578,1
579,1
581,2
583,2
585,3
586,3
587,3
588,4
589,4
590,2
591,4
592,2
593,2
594,4
595,4
596,2
597,3
598,4
599,3
600,4
601,3
602,4
603,3
604,4
605,4
606,1
607,1
608,4
609,4
610,4
611,2
612,2
613,2
614,2
615,1
616,1
617,2
618,2
619,2
620,2
621,1
622,2
623,4
624,2
625,4
626,2
627,2
628,4
629,2
630,2
632,4
634,2
635,3
636,3
637,3
638,3
639,3
