District Id,Location Name
1,Kupwara
1,Handwara
1,Karnah
2,Badgam
2,Khag
2,Beerwah
2,Khansahib
2,Budgam
2,Chadoora
2,Charar- E- Shrief
3,Leh(Ladakh)
3,Leh
3,Nubra
3,Khalsi
4,Kargil
4,Sanku
4,Zanskar
5,Punch
5,Mendhar
5,Surankote
6,Rajouri
6,Thanamandi
6,Darhal
6,Rajauri
6,Budhal
6,Kalakote
6,Nowshehra
6,Sunderbani
7,Kathua
7,Billawar
7,Bashohli
7,Bani
7,Hiranagar
8,Baramula
8,Sopore
8,Rafiabad
8,Pattan
8,Baramulla
8,Kreeri
8,Uri
8,Boniyar
8,Tangmarg 
9,Bandipore
9,Gurez
9,Bandipora
9,Sonawari
10,Srinagar
10,Srinagar (North)
10,Srinagar (South)
11,Ganderbal
11,Lar
11,Kangan
12,Pulwama
12,Pampore
12,Awantipora
12,Tral
13,Shupiyan
13,Shopian
14,Anantnag
14,Pahalgam
14,Bijbehara
14,Shangus
14,Kokernag
14,Dooru
15,Kulgam
15, Devsar
15,Damhal Hanjipora
16,Doda
16,Thathri
16,Gandoh
16,Bhaderwah
17,Ramban
17,Banihal
18,Kishtwar
18,Marwah
18,Chhatroo
18,Atholi (Paddar)
19,Udhampur
19,Chenani
19,Majalta
20,Reasi
20,Gool-Gulabgarh
21,Jammu
21,Akhnoor
21,Ranbir Singh Pora
21,Bishnah
22,Samba
23,Chamba
23,Pangi
23,Chaurah
23,Saluni
23,Bhalai
23,Dalhousie
23,Bhattiyat
23,Sihunta
23,Holi
23,Brahmaur
24,Kangra
24,Nurpur
24,Indora
24,Jawali
24,Harchakian
24,Dharmsala
24,Nagrota Bagwan
24,Baroh
24,Dera Gopipur
24,Jawalamukhi
24,Jaswan
24,Rakkar
24,Khundian
24,Thural
24,Dhira
24,Jaisinghpur
24,Palampur
24,Baijnath
24,Multhan
25,Lahul & Spiti
25,Lahul
25,Spiti
26,Kullu
26,Manali
26,Sainj
26,Banjar
26,Ani
26,Nermand
27,Mandi
27,Padhar
27,Jogindarnagar
27,Lad Bharol
27,Sandhol
27,Dharmpur
27,Kotli
27,Sarkaghat
27,Bhadrota
27,Baldwara
27,Sundarnagar
27,Aut
27,Bali Chowki
27,Thunag
27,Chachyot
27,Nihri
27,Karsog
28,Hamirpur
28,Tira Sujanpur
28,Nadaun
28,Galore
28,Barsar
28,Dhatwal
28,Bhoranj
29,Una
29,Bharwain
29,Amb
29,Bangana
29,Haroli
30,Ghumarwin
30,Bharari
30,Jhanduta
30,Naina Devi
30,Bilaspur Sadar
30,Namhol
31,Solan
31,Arki
31,Darlaghat
31,Ramshahr
31,Nalagarh
31,Baddi
31,Krishangarh
31,Kasauli
31,Kandaghat
32,Sirmaur
32,Nohra
32,Pachhad
32,Renuka
32,Dadahu
32,Nahan
32,Paonta Sahib
32,Kamrau
32,Shalai
32,Ronhat
33,Shimla
33,Nankhari
33,Kumharsain
33,Shimla   ( Rural )
33,Shimla (urban)
33,Junga
33,Theog
33,Chaupal
33,Cheta
33,Nerua
33,Jubbal
33,Kotkhai
33,Tikar
33,Rohru
33,Chirgaon
33,Dodra Kwar
34,Kinnaur
34,Hangrang
34,Poo
34,Morang
34,Kalpa
34,Nichar
34,Sangla
35,Gurdaspur
35,Dhar Kalan
35,Pathankot       
35,Gurdaspur 
35,Batala 
35,Dera Baba Nanak  
36,Kapurthala 
36,Bhulath
36,Sultanpur Lodhi 
36,Phagwara 
37,Jalandhar
37,Shahkot
37,Nakodar
37,Phillaur
37,Jalandhar - I
37,Jalandhar - II
