District Id,Location Name
1,kupwara
1,handwara
1,karnah
2,badgam
2,khag
2,beerwah
2,khansahib
2,budgam
2,chadoora
2,charar e shrief
3,leh
3,ladakh
3,leh
3,nubra
3,khalsi
4,kargil
4,sanku
4,zanskar
5,punch
5,mendhar
5,surankote
6,rajouri
6,thanamandi
6,darhal
6,rajauri
6,budhal
6,kalakote
6,nowshehra
6,sunderbani
7,kathua
7,billawar
7,bashohli
7,bani
7,hiranagar
8,baramula
8,sopore
8,rafiabad
8,pattan
8,baramulla
8,kreeri
8,uri
8,boniyar
8,tangmarg
9,bandipore
9,gurez
9,bandipora
9,sonawari
10,srinagar
11,ganderbal
11,lar
11,kangan
12,pulwama
12,pampore
12,awantipora
12,tral
13,shupiyan
13,shopian
14,anantnag
14,pahalgam
14,bijbehara
14,shangus
14,kokernag
14,dooru
15,kulgam
15,devsar
15,damhal hanjipora
16,doda
16,thathri
16,gandoh
16,bhaderwah
17,ramban
17,banihal
18,kishtwar
18,marwah
18,chhatroo
18,atholi
18,paddar
19,udhampur
19,chenani
19,majalta
20,reasi
20,gool gulabgarh
21,jammu
21,akhnoor
21,ranbir singh pora
21,bishnah
22,samba
23,chamba
23,pangi
23,chaurah
23,saluni
23,bhalai
23,dalhousie
23,bhattiyat
23,sihunta
23,holi
23,brahmaur
24,kangra
24,nurpur
24,indora
24,jawali
24,harchakian
24,dharmsala
24,nagrota bagwan
24,baroh
24,dera gopipur
24,jawalamukhi
24,jaswan
24,rakkar
24,khundian
24,thural
24,dhira
24,jaisinghpur
24,palampur
24,baijnath
24,multhan
25,lahul & spiti
25,lahul and spiti
25,lahul
25,spiti
26,kullu
26,manali
26,sainj
26,banjar
26,ani
26,nermand
27,mandi
27,padhar
27,jogindarnagar
27,lad bharol
27,sandhol
27,dharmpur
27,kotli
27,sarkaghat
27,bhadrota
27,baldwara
27,sundarnagar
27,aut
27,bali chowki
27,thunag
27,chachyot
27,nihri
27,karsog
28,hamirpur
28,tira sujanpur
28,nadaun
28,galore
28,barsar
28,dhatwal
28,bhoranj
29,una
29,bharwain
29,amb
29,bangana
29,haroli
30,ghumarwin
30,bharari
30,jhanduta
30,naina devi
30,bilaspur sadar
30,namhol
31,solan
31,arki
31,darlaghat
31,ramshahr
31,nalagarh
31,baddi
31,krishangarh
31,kasauli
31,kandaghat
32,sirmaur
32,nohra
32,pachhad
32,renuka
32,dadahu
32,nahan
32,paonta sahib
32,kamrau
32,shalai
32,ronhat
33,shimla
33,nankhari
33,kumharsain
33,shimla
33,junga
33,theog
33,chaupal
33,cheta
33,nerua
33,jubbal
33,kotkhai
33,tikar
33,rohru
33,chirgaon
33,dodra kwar
34,kinnaur
34,hangrang
34,poo
34,morang
34,kalpa
34,nichar
34,sangla
35,gurdaspur
35,dhar kalan
35,pathankot
35,gurdaspur
35,batala
35,dera baba nanak
36,kapurthala
36,bhulath
36,sultanpur lodhi
36,phagwara
37,jalandhar
37,shahkot
37,nakodar
37,phillaur
37,jalandhar
37,jalandhar
38,hoshiarpur
38,dasua
38,mukerian
38,hoshiarpur
38,garhshankar
39,shahid bhagat singh nagar
39,nawanshahr
39,balachaur
40,fatehgarh sahib
40,bassi pathana
40,amloh
40,khamanon
41,ludhiana
41,samrala
41,khanna
41,payal
41,ludhiana
41,raikot
41,jagraon
42,moga
42,nihal singhwala
42,bagha purana
43,firozpur
43,zira
43,jalalabad
43,fazilka
43,abohar
44,muktsar
44,malout
44,gidderbaha
45,faridkot
45,jaitu
46,bathinda
46,rampura phul
46,talwandi sabo
47,mansa
47,sardulgarh
